fromGate,toGate,distance,time
A3D,B10,1183,17
A3D,B2,1202,17
A3D,B9,1216,17
A3D,B3,1240,18
A3D,B8,1256,18
A3D,B4,1275,18
A3D,B7,1290,19
A3D,B6,1286,19
A3D,B5,1290,19
A3D,B20,1084,15
A3D,B12,1097,15
A3D,B19,1103,16
A3D,B14,1132,16
A3D,B18,1140,16
A3D,B15,1159,16
A3D,B17,1172,17
A3D,B16,1168,17
A3D,B21,1133,16
A3D,B31,1157,17
A3D,B30,1180,17
A3D,B22,1200,17
A3D,B29,1218,18
A3D,B23,1238,18
A3D,B28,1253,18
A3D,B24,1277,19
A3D,B27,1290,19
A3D,B26,1291,19
A3D,B25,1294,19
A3D,B85A,1052,14
A3D,B81A,1007,14
A3D,B77A,1006,14
A3D,B76A,1008,14
A3D,B79A,1004,14
A3D,C1,1579,16
A3D,C2,1636,17
A3D,C29,1839,21
A3D,C30,1843,21
A3D,C31,1819,20
A3D,C32,1783,20
A3D,C33,1746,19
A3D,C34,1707,19
A3D,C35,1741,19
A3D,C36,1775,20
A3D,C37,1796,20
A3D,C39,1803,20
A3D,C40,1786,20
A3D,C41,1757,19
A3D,C42,1724,19
A3D,C43,1729,19
A3D,C44,1772,20
A3D,C45,1810,20
A3D,C3,1672,18
A3D,C4,1827,21
A3D,C5,1865,21
A3D,C6,1922,22
A3D,C7,1960,23
A3D,C8,1960,23
A3D,C9,1955,23
A3D,C10,1913,22
A3D,C11,1876,21
A3D,C12,1809,20
A3D,C14,1277,19
A3D,C15,1221,18
A3D,D1,1595,17
A3D,D2,1624,17
A3D,D3,1644,17
A3D,D4,1826,21
A3D,D5,1825,21
A3D,D6,2176,21
A3D,D7,2092,19
A3D,D8,2105,20
A3D,D9,2168,21
A3D,D10,2228,22
A3D,D11,2227,22
A3D,D12,2224,22
A3D,D9A,2172,21
A3D,E1,2414,25
A3D,E2,2434,25
A3D,E3,2452,25
A3D,E4,2494,26
A3D,E5,2523,27
A3D,E6,2516,26
A3D,E7,2516,26
A3D,E8,2482,26
A3D,E9,2446,25
A3D,E10,2281,23
A3D,E11,2266,22
A3D,E12,2189,21
A3D,E14,2233,22
A3D,E24,2318,23
A3D,E23,2343,24
A3D,E15,2371,24
A3D,E16,2418,25
A3D,E17,2441,25
A3D,E18,2480,26
A3D,E19,2471,26
A3D,E20,2429,25
A3D,E21,2413,25
A3D,E22,2386,24
A3C,A3H,104,2
A3C,A3G,85,1
A3C,A3F,72,1
A3C,A3E,33,1
A3C,A3D,11,1
A3C,A3B,19,1
A3C,A3A,53,1
A3C,A15,471,8
A3C,A14,483,8
A3C,A12,447,8
A3C,A11,423,7
A3C,A10,410,7
A3C,A9,393,7
A3C,A8,365,6
A3C,A7,333,6
A3C,A2,179,3
A3C,A1,220,4
A3C,A17,593,10
A3C,A18,624,11
A3C,A19,632,11
A3C,A20,623,11
A3C,A24,616,11
A3C,A25,507,9
A3C,A26,541,9
A3C,A27,578,10
A3C,A29,584,10
A3C,A30,590,10
A3C,B76,1002,14
A3C,B77,1000,14
A3C,B79,998,14
A3C,B80,999,14
A3C,B81,1000,14
A3C,B83,1003,14
A3C,B85,1045,14
A3C,B86,1046,14
A3C,B86A,1046,14
A3C,B87,1047,14
A3C,B88,1047,14
A3C,B11,1107,16
A3C,B1,1162,17
A3C,B10,1176,17
A3C,B2,1196,17
A3C,B9,1210,17
A3C,B3,1234,18
A3C,B8,1250,18
A3C,B4,1269,18
A3C,B7,1284,19
A3C,B6,1280,19
A3C,B5,1284,19
A3C,B20,1078,15
A3C,B12,1091,15
A3C,B19,1097,15
A3C,B14,1125,16
A3C,B18,1133,16
A3C,B15,1153,16
A3C,B17,1165,17
A3C,B16,1161,17
A3C,B21,1126,16
A3C,B31,1151,16
A3C,B30,1173,17
A3C,B22,1194,17
A3C,B29,1212,17
A3C,B23,1232,18
A3C,B28,1247,18
A3C,B24,1271,18
A3C,B27,1284,19
A3C,B26,1285,19
A3C,B25,1288,19
A3C,B85A,1045,14
A3C,B81A,1000,14
A3C,B77A,1000,14
A3C,B76A,1002,14
A3C,B79A,998,14
