checkin_counter,gateNumber,distance,time
United Check-In,B29,1322,25
United Check-In,B23,1341,25
United Check-In,B28,1357,25
United Check-In,B24,1381,26
United Check-In,B27,1393,26
United Check-In,B26,1394,26
United Check-In,B25,1397,26
United Check-In,B85A,1155,22
United Check-In,B83A ,unknown,unknown
United Check-In,B81A,1110,21
United Check-In,B77A,1109,21
United Check-In,B76A,1112,21
United Check-In,B79A,1108,21
United Check-In,C1,327,14
United Check-In,C2,384,15
United Check-In,C29,463,16
United Check-In,C30,467,16
United Check-In,C31,443,16
United Check-In,C32,407,15
United Check-In,C33,370,15
United Check-In,C34,331,14
United Check-In,C35,365,15
United Check-In,C36,399,15
United Check-In,C37,420,16
United Check-In,C39,427,16
United Check-In,C40,410,16
United Check-In,C41,381,15
United Check-In,C42,348,14
United Check-In,C43,353,15
United Check-In,C44,396,15
United Check-In,C45,434,16
United Check-In,C3,420,16
United Check-In,C4,575,18
United Check-In,C5,613,19
United Check-In,C6,671,20
United Check-In,C7,708,20
United Check-In,C8,708,20
United Check-In,C9,703,20
United Check-In,C10,661,20
United Check-In,C11,624,19
United Check-In,C12,557,18
United Check-In,C14,602,19
United Check-In,C15,653,20
United Check-In,D1,343,14
United Check-In,D2,372,15
United Check-In,D3,392,15
United Check-In,D4,574,18
United Check-In,D5,573,18
United Check-In,D6,626,19
United Check-In,D7,969,20
United Check-In,D8,983,20
United Check-In,D9,1045,21
United Check-In,D10,1105,22
United Check-In,D11,1104,22
United Check-In,D12,1101,22
United Check-In,D9A,1049,21
United Check-In,E1,1291,25
United Check-In,E2,1311,25
United Check-In,E3,1329,26
United Check-In,E4,1372,26
United Check-In,E5,1400,27
United Check-In,E6,1393,27
United Check-In,E7,1393,27
United Check-In,E8,1359,26
United Check-In,E9,1324,26
United Check-In,E10,1158,23
United Check-In,E11,1143,23
United Check-In,E12,1066,21
United Check-In,E14,1110,22
United Check-In,E24,1195,23
United Check-In,E23,1220,24
United Check-In,E15,1248,24
United Check-In,E16,1295,25
United Check-In,E17,1318,25
United Check-In,E18,1357,26
United Check-In,E19,1348,26
